INV_NR;KURZTITEL;TITEL;FOTOGRAF;DATIERUNGVON;DATIERUNGBIS;DATIERUNGKONKRET;ORTZEITBESCHREIBUNG;SCHLAGWORT;BESCHREIBUNG_MOTIV;STRASSENNAME_MOTIV;STADTBEZIRK;GEOKOORDINATEN_MOTIV;URL;DATENGEBER;ISIL_DATENGEBER;LIZENZ
F-015416;Grenzmauer Charlottenstraße;Schriftzug auf der Grenzmauer 75 an der Ecke Zimmerstraße/Charlottenstraße;Kasperski, Edmund;1979;1979;1979.08.31;Berlin, 31. August 1979;"Berliner Mauer;Gekappter Verkehrsweg (Berlin 1961-1989);Grenzmauer 75;Schriftzug (Anti-DDR);Straßenschild";"13. August und ""DDR=KZ""  ist als Schriftzug auf die Grenzmauer 75 an der Ecke Zimmerstraße/Charlottenstraße gesprüht.";Zimmerstraße/Charlottenstraße;"Kreuzberg (West-Berlin);Mitte (Ost-Berlin)";POINT (13.39233 52.50781);http://www.mauer-fotos.de/image/?imageID=015416;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015433;AFN filmt Bauarbeiten;AFN filmt die Bauarbeiten für den Aufbau der Grenzmauer 75 an der Zimmerstraße;Kasperski, Edmund;1977;1977;1977.11.21;Berlin, 21. November 1977;"Aufbau Grenzmauer 75;Aussichtsplattform;Grenzsoldat;Kamera;Kran;Mobiler Sicherungszaun;Rundfunk;US-Soldat";"Ein US-Soldat vom Rang eines ""Technical Sergeant"" filmt vor einem mobilen Sicherheitszaun für den US-Soldatensender AFN einen Bautrupp bei den Bauarbeiten für den Aufbau der Grenzmauer 75 an der Zimmerstraße. Im hinteren Bereich des Grenzstreifens liegen Teile der abgerissenen Betonplattenmauer. Im Hintergrund sind die Hochhäuser der Leipziger Straße zu sehen. Die Senderkette American Forces Network (AFN) diente der Rundfunkversorgung der Streitkräfte der Vereinigten Staaten in Europa.";Friedrichstraße/Zimmerstraße;"Kreuzberg (West-Berlin);Mitte (Ost-Berlin)";POINT (13.39035 52.50766);http://www.mauer-fotos.de/image/?imageID=015433;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015436;Aufbau Grenzmauer 75 Zimmerstraße;Bautrupp beim Abriss der Betonschichtmauer für den späteren Aufbau der neuen Grenzmauer 75;Kasperski, Edmund;1977;1977;1977.11.21;Berlin, 21. November 1977;"Bautrupp;Betonbalken;Betonschichtmauer;Fahrzeugsperre;Grenzhaus;Kran;Mobiler Sicherungszaun;Passant;Sektorenschild";Hinter einem mobilen Sicherheitszaun an der Zimmerstraße werden durch einen Bautrupp mit Hilfe eines Kranfahrzeugs die noch verbliebenen Teile der alte Betonplattenmauer abgerissen, um später die Grenzmauer 75 aufzubauen. Im hinteren Teil des Grenzstreifens stehen zwei Aufreihungen von Fahrzugsperren. Grenzsoldaten bewachen die Bauarbeiten. ;Zimmerstraße/Wilhelmstraße;"Mitte (Ost-Berlin);Kreuzberg (West-Berlin)";POINT (13.38554 52.50743);http://www.mauer-fotos.de/image/?imageID=015436;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015445;Fassadenreste Bernauer Straße;Grenzanlagen an der Bernauer Straße/Wolliner Straße;Kasperski, Edmund;1977;1977;1977.08.09;Berlin, 9. August 1977;"Berliner Mauer;Betonschichtmauer;Fassadenmauer (Bernauer Straße 1965-1980);Schriftzug (Anti-DDR);Straßenschild;Vermauerte Fenster/Türen";In der Bernauer Straße verläuft die Grenze entlang der Häuserfront der auf Ost-Berliner Gebiet stehenden Grenzhäuser. Wenige Wochen nach dem Mauerbau 1961 wurden die Häuser geräumt, die verbliebenen Bewohner zwangsumgesiedelt und Fenster und Türen vermauert. Die Gebäude wurden nach 1963 schließlich bis auf die Straßenfassaden der Erdgeschosse abgetragen, die verbliebenen Erdgeschossfassaden dienten als Sperrelemente der Grenzanlagen. Die Straßeneinmündung ist mit einer massiven Betonschichtmauer gegen Fahrzeugdurchbrüche gesichert.;Bernauer Straße/Wolliner Straße;"Mitte (Ost-Berlin);Wedding (West-Berlin)";POINT (13.4016 52.53978);http://www.mauer-fotos.de/image/?imageID=015445;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015446;Gedenkkreuz Bernd Lünser;Mahnmal und Gedenkkreuz für Bernd Lünser an der Bernauer Straße ;Kasperski, Edmund;1977;1977;1977.08.09;Berlin, 9. August 1977;"Berliner Mauer;Fassadenmauer (Bernauer Straße 1965-1980);Gedenkkreuz;Gedenkzeichen (Mauertote);Kranz;Mauertoter;Trauerkranz";Der Student Bernd Lünser verunglückte am 4. Oktober 1961 beim Sprung vom Dach des Hauses Bernauer Straße 44 an der Sektorengrenze zwischen Berlin-Mitte und Berlin-Wedding tödlich. Das Kreuz ist an den zugemauerten Fassadenresten des Hauses Nr. 44 angebracht. In der Bernauer Straße verlief die Grenze entlang der Häuserfront der auf Ost-Berliner Gebiet stehenden Grenzhäuser. Wenige Wochen nach dem Mauerbau 1961 wurden die Häuser geräumt, die verbliebenen Bewohner zwangsumgesiedelt und Fenster und Türen vermauert. Die Gebäude wurden in den Jahren nach 1963 schließlich bis auf die Straßenfassaden der Erdgeschosse abgetragen und dienten als Sperrelemente der Grenzanlage. 1980 wurde diese alte Grenzbefestigung beseitigt und von der neuen Grenzmauer 75 abgelöst. ;Bernauer Straße/Ackerstraße;"Wedding (West-Berlin);Mitte (Ost-Berlin)";POINT (13.39012 52.53547);http://www.mauer-fotos.de/image/?imageID=015446;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015453;Grenzmauer Sebastianstraße;Bürgersteig entlang der Grenzmauer 75 an der Sebastianstraße;Kasperski, Edmund;1978;1978;1978.08.10;Berlin, 10. August 1978;"Berliner Mauer;Bürgersteig;Bürgersteig zu Ost-Berlin gehörig;Grenzmauer 75";Innerstädtischer Grenzverlauf an der Sebastianstraße. Mit dem Bau der Berliner Mauer wurde die Straße geteilt. Die Häuser mit den Hausnummern 1–3 gehörten zu Ost-Berlin, während die Häuser 81–87 auf der gegenüberliegenden Seite zu West-Berlin gehörten. Deren Bewohner benutzen den Bürgersteig entlang der Grenzmauer, der bereits zu Ost-Berliner Gebiet gehört.;Sebastianstraße/Luckauer Straße;"Mitte (Ost-Berlin);Kreuzberg (West-Berlin)";POINT (13.41423 52.50406);http://www.mauer-fotos.de/image/?imageID=015453;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015457;Aussichtsplattform Luckauer Straße;Aussichtsplattform vor der Grenzmauer 75 an der Luckauer Straße;Kasperski, Edmund;1978;1978;1978.08.10;Berlin, 10. August 1978;"Absperrung;Aussichtsplattform;Berliner Mauer;Mauerbesucher;Schriftzug (Anti-DDR)";"Drei Personen stehen auf der Aussichtsplattform an der Luckauer Straße/Waldemarstraße und schauen in die Grenzanlagen nach Ost-Berlin. An der Grenzmauer 75 ist ein Graffiti ""DDR=KZ"" erkennbar. Im Hintergrund sind Gebäude auf der Ost-Berliner Seite zu erkennen sowie der Fernsehturm.";Luckauer Straße/Waldermarstraße;"Mitte (Ost-Berlin);Kreuzberg (West-Berlin)";POINT (13.4147572517395 52.5048199404718);http://www.mauer-fotos.de/image/?imageID=015457;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015468;Grenzmauer Griesinger Straße;Pferd mit Kutsche auf der Brache an der Grenzmauer nahe der Griesinger Straße;Kasperski, Edmund;1978;1978;1978.05.05;Berlin, 5. Mai 1978;"Außenring (Berliner Mauer);Berliner Mauer;Brache;Kutsche;Pferd";Auf einer Grünfläche hinter der ehemaligen Landesnervenklinik nahe der Griesinger Straße in Spandau spielen Kinder neben einem grasenden Pferd mit einer Kutsche an der Grenzmauer. Hinter der Mauer ist ein Wachturm zu sehen und Wohnhäuser in Falkenhöh auf DDR-Gebiet. ;Griesingerstraße;Spandau (West-Berlin);POINT (13.1545 52.5636);http://www.mauer-fotos.de/image/?imageID=015468;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015480;Warnschild am Grenzzaun;Warnschild vor Grenzzaun an den Bahngleisen nahe der Neubrücker Straße;Kasperski, Edmund;1980;1980;1980.01.04;Berlin, 4. Januar 1980;"Außenring (Berliner Mauer);Brache;Grenzzaun;Warnschild";"Auf einem Warnschild steht: ""Achtung! Grenze verläuft in diesem Bereich 5-8 m. vor dem Stacheldrahtzaun. Grenzpfähle u. Warnschilder beachten."" Dahinter verläuft der hier als vorderes Grenzelement diehnende Streckmetallzaun vom Typ ""Grenzzaun I"" mit einer Höhe von 2,90 Metern im Schnee.";Neubrücker Straße/Gralsburgsteig;Reinickendorf (West-Berlin);POINT (13.2836 52.641);http://www.mauer-fotos.de/image/?imageID=015480;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015508;Touristen Potzdamer Platz;Touristen an der Grenzmauer 75 am Potzdamer Platz;Kasperski, Edmund;1981;1981;1981.07.27;Berlin, 1981;"Berliner Mauer;Fernsehturm;Graffito;Grenzmauer 75;Mauerbesucher;Reisebus;Urlauber";Eine Gruppe Touristen steht vor parkenden Bussen an der mit Graffiti besprühten Grenzmauer 75 am Potzdamer Platz. Hinter der Grenzmauer ist in der Ferne der Fernsehturm am Alexanderplatz zu sehen. ;Potsdamer Platz;"Tiergarten (West-Berlin);Mitte (Ost-Berlin)";POINT (13.37657 52.50951);http://www.mauer-fotos.de/image/?imageID=015508;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015518;Imbisswagen am Potzdamer Platz;Imbisswagen mit Kunden am Potzdamer Platz vor der Grenzmauer 75 ;Kasperski, Edmund;1981;1981;1981.07.27;Berlin, 27. Juli 1981;"Berliner Mauer;Fernsehturm;Graffito;Grenzleuchte;Grenzmauer 75;Imbissstand;Passant";Kunden stehen vor einem Imbissstand unmittelbar an der mit Graffiti besprühten Grenzmauer 75 am Potsdamer Platz. Hinter der Grenzmauer ist der Fernsehturm am Alexanderplatz und eine Grenzleuchte zu sehen.;Potsdamer Platz;"Tiergarten (West-Berlin);Mitte (Ost-Berlin)";POINT (13.37852 52.50888);http://www.mauer-fotos.de/image/?imageID=015518;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015528;Grenzübergangsstelle Bornholmer Straße ;Einfahrt mit Schranke in die Grenzübergangsstelle Bornholmer Straße auf der Bösebrücke ;Kasperski, Edmund;1979;1979;1979.05.03;Berlin, 1979;"Berliner Mauer;Fahrzeugsperre;Grenzsoldat;Grenzübergangsstelle (GÜSt);Kommandoturm (GÜSt);Schlagbaum";Einfahrt mit Schlagbaum an der Grenzübergangsstelle Bornholmer Straße auf der Bösebrücke. Im Kommandoturm sitzen zwei Grenzsoldaten, einer beobachtet mit einem Fernglas das Geschehen.;Bösebrücke;"Wedding (West-Berlin);Prenzlauer Berg (Ost-Berlin)";POINT (13.39815 52.55466);http://www.mauer-fotos.de/image/?imageID=015528;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015531;Gedenkzeichen Ottfried Reck;Gedenkzeichen für Ottfried Reck vor der Grenzmauer 75 an der Bernauer Straße;Kasperski, Edmund;1980;1980;1980.12.29;Berlin, 1980;"Berliner Mauer;Gedenkzeichen (Mauertote);Grenzmauer 75;Trauerkranz";Gedenkzeichen für Ottfried Reck mit Kranz an der Grenzmauer 75 an der Bernauer Straße. Ottfried Reck wollte am 27. 11. 1962  mit zwei Freunden über das Gelände des gesperrten Nordbahnhofs durch den Nord-Süd-Tunnel nach West-Berlin flüchten. Er wurde dabei von Angehörigen der Grenztruppen der DDR entdeckt und abseits der Grenze durch einen Schuss in den Rücken tödlich verletzt.;Bernauer Straße/Gartenstraße;"Wedding (West-Berlin);Mitte (Ost-Berlin)";POINT (13.38742 52.53348);http://www.mauer-fotos.de/image/?imageID=015531;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015532;Mahnmal Olga Segler;Mahnmal mit Kranz für Olga Segler vor der Grenzmauer 75 an der Bernauer Straße;Kasperski, Edmund;1980;1980;1980.12.29;Berlin, 29. Dezember 1980;"Berliner Mauer;Gedenkzeichen (Mauertote);Grenzmauer 75;Kranz;Mauertoter";Mahnmal mit Kranz für Olga Segler vor der neu aufgebauten Grenzmauer 75 an der Bernauer Straße. Olga Segler lebte nahe der abgebildeten Stelle im zweiten Stock des Hauses Bernauer Straße 34 in Ost-Berlin. Als die Häuser direkt an der Grenze geräumt werden sollten, sprang sie am 25. September 1961 aus dem Fenster und verfehlte das Sprungtuch, das die Feuerwehr bereitgestellt hatte. Sie erlitt dabei schwere innere Verletzungen und starb am folgenden Tag im Krankenhaus.;Bernauer Straße/Wolgaster Straße;"Mitte (Ost-Berlin);Wedding (West-Berlin)";POINT (13.39795 52.53881);http://www.mauer-fotos.de/image/?imageID=015532;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015694;Grenzmauer Liesenstraße;Grenzmauer 75 mit Graffiti an der Liesenstraße;Kasperski, Edmund;1990;1990;1990.02;Berlin, Februar 1990;"Fußballverein;Graffito;Grenzmauer 75;Passant";"Die Grenzmauer 75 ist mit mehreren Graffiti besprüht, darunter ein Graffito, das die Fan-Freundschaft von Hertha BSC und dem 1. FC Union Berlin verkündet, fällt auf. Ein Passant läuft mit seinem Hund auf dem Bürgersteig der Liesenstraße vorbei. Die Liesenbrücke (""Schwindsuchtbrücke"") spannt sich im Hintergrund über die Liesenstraße.";Gartenstraße/Liesenstraße;"Wedding (West-Berlin);Mitte (Ost-Berlin)";POINT (13.3794164657593 52.5402145151447);http://www.mauer-fotos.de/image/?imageID=015694;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015697;Abbau Checkpoint Charlie;Feierlichkeiten zurm Abbau des Checkpoint Charlie;Kasperski, Edmund;1990;1990;1990.06.22;Berlin, 22. Juni 1990;"Britisches Militär Berlin;Französisches Militär Berlin;Journalist;Kontrollhaus;Kran;Mauerabbau;Nationalflagge;US-Militär Berlin;US-Soldat";Vorbereitungen für den feierlichen Abbau des Kontrollhauses am Checkpoint Charlie. Das Gebäude des Kontrollpunkts ist für den Abbau schon am Kran festgemacht. Vereinzelte Besucher warten auf dem Podest. Pressevertreter befinden sich im Gespräch mit Soldaten der alliierten Streitkräfte.;Friedrichstraße/Zimmerstraße;"Kreuzberg (West-Berlin);Mitte (Ost-Berlin)";POINT (13.39035 52.50766);http://www.mauer-fotos.de/image/?imageID=015697;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015726;Geräumter Grenzstreifen Ebertstraße;Geräumter Grenzstreifen und Mauerstücke auf der Ebertstraße;Kasperski, Edmund;1990;1990;1990.02.20;Berlin, 20. Februar 1990;"Geräumter Grenzstreifen;Mauerabbau;Passant;Straßenbahnnetz";Auf dem schon geräumten Grenzstreifen auf der Ebertstraße nördlich des Brandenburger Tors liegen die ehemaligen Schienen für die Straßenbahn (hier der Tramlinie 70), die fast bis zum Reichstag fuhr. Die sektorenübergreifenden Straßenbahnlinien wurden im Januar 1953 unterbrochen.;Ebertstraße/Scheidemannstraße;"Tiergarten (West-Berlin);Mitte (Ost-Berlin)";POINT (13.37682 52.51774);http://www.mauer-fotos.de/image/?imageID=015726;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015762;Grenzstreifen Drewitz;Grenzstreifen an der Grenzübergangsstelle Drewitz;Kasperski, Edmund;1990;1990;1990.05.18;Berlin, 18. Mai 1990;"Grenzleuchte;Panzerdenkmal (Berlin);Postenweg;Signalhalter;Signalzaun;Wachtturm Typ BT-9";Teil des Grenzstreifens an der Autobahn-Transitstrecke an der Grenzübergangsstelle Drewitz-Dreilingen mit Postenweg und Signalzaun, im Hintergrund ein Wachturm. Jenseits der Hinterlandmauer ist das Panzerdenkmal zu sehen, das ursprünglich auf Zehlendorfer Gebiet stand.;Autobahn A115/Kreuz Zehlendorf;Zehlendorf (West-Berlin);POINT (13.1964468955994 52.4182306649397);http://www.mauer-fotos.de/image/?imageID=015762;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015763;Grenzstreifen Köppchensee;Grenzstreifen am Köppchensee;Kasperski, Edmund;1990;1990;1990.08.29;Berlin, 29. August 1990;"Außenring (Berliner Mauer);Berliner Mauer;Grenzleuchte;Grenzmauer 75;Grenzstreifen;Hinterlandmauer;Mauerabbau;Passant;Postenweg";Von dem Wachturm am Köppchensee überblickt man Richtung Süden den Grenzstreifen mit der gesicherten Brücke über den Tegeler Fließ. Auf dem Postenweg läuft ein Passant. Teile der Hinterlandmauer sind bereits abgebaut, die Betonpfosten liegen auf dem Rasen. Der Grenzzaun Richtung West-Berlin steht noch.;Köppchensee;Reinickendorf (West-Berlin);POINT (13.3697175979614 52.6257433340115);http://www.mauer-fotos.de/image/?imageID=015763;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015764;Grenzstreifen Brandenburger Tor;Grenzstreifen am Brandenburger Tor;Kasperski, Edmund;1989;1989;1989;Berlin, ca. 1989;"Grenzmauer 75;Grenzsoldat;Grenzstreifen;Militärfahrzeug;Nationalflagge;Polizeifahrzeug;Wachtturm Typ BT-9";Der Grenzstreifen am Brandenburger Tor mit Wachturm hinter der mit Grafitti besprühten Grenzmauer 75. Auf der flacheren Betonschichtmauer rund um das Brandenburger Tor stehen hinter einem West-Berliner Polizeifahrzeug zwei Grenzsoldaten. Weitere Grenzsoldaten und ein Lkw befinden sich im Grenzstreifen.;Ebertstraße/Scheidemannstraße;"Tiergarten (West-Berlin);Mitte (Ost-Berlin)";POINT (13.37682 52.51774);http://www.mauer-fotos.de/image/?imageID=015764;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015773;Grenzstreifen am Reichstag;Grenzstreifen hinter dem Reichstagsgebäude;Kasperski, Edmund;1990;1990;1990.02.16;Berlin, 16. Februar 1990;"Graffito;Grenzmauer 75;Grenzsoldat;Mauerabbruch;Mauerbesucher;Militärfahrzeug;Wachtturm Typ BT-9";Passanten gehen auf dem Grenzgebiet hinter dem Reichstag spazieren. Der Grenzstreifen ist durch große Löcher in der Grenzmauer 75 betretbar. Im Grenzstreifen stehen vier Grenzsoldaten auf dem Wachturm und beobachten das Geschehen. Transportfahrzeuge der Grenztruppen stehen neben dem Wachturm.;Friedrich-Ebert-Platz;"Tiergarten (West-Berlin);Mitte (Ost-Berlin)";POINT (13.37686 52.5183);http://www.mauer-fotos.de/image/?imageID=015773;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015778;Menschenmenge Brandenburger Tor;Menschenmenge vor und auf der Betonschichtmauer am Brandenburger Tor;Kasperski, Edmund;1989;1989;1989.11.10;Berlin, 10. November 1989;"Berliner Mauer;Grenzsoldat;Grenzstreifen;Maueröffnung;Menschenmenge";Am Tag nach der Maueröffnung haben viele Menschen von West-Berliner Seite die Berliner Mauer erklommen und lassen ihre Beine in den Grenzstreifen Mauer baumeln. Grenzsoldaten haben sich auf der Ost-Berliner Seite an der Mauer positioniert, um die Menschen am Betreten des Grenzstreifens zu hindern.;Platz des 18. März;"Tiergarten (West-Berlin);Mitte (Ost-Berlin)";POINT (13.3773243427277 52.5162730950322);http://www.mauer-fotos.de/image/?imageID=015778;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015785;Gedenkkreuze am Brandenburger Tor;Gedenkkreuze an der Berliner Mauer zwischen Reichstag und Brandenburger Tor;Kasperski, Edmund;1990;1990;1990.02.16;Berlin, 16. Februar 1990;"Gedenkzeichen (Mauertote);Graffito;Kran;Mauerabbau;Mauertoter;Passant;Trauerkranz;Wachtturm Typ BT-9";Auf den Zäunen hinter dem Reichstag vor der schon zerstörten Grenzmauer 75 sind Gedenkzeichen für die Mauertoten angebracht. Es sind die Todesdaten und einige Namen auf den weißen Kreuzen geschrieben. Vor einem größerem Kreuz liegen viele Blumen. Im Hintergrund sind auf dem Wachtturm stehen Grenzsoldaten.;Ebertstraße/Scheidemannstraße;"Tiergarten (West-Berlin);Mitte (Ost-Berlin)";POINT (13.37682 52.51774);http://www.mauer-fotos.de/image/?imageID=015785;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015786;Mauerabbau Ackerstraße;Mauerabbau an der Ackerstraße und Demontage des Wachturms;Kasperski, Edmund;1990;1990;1990.03.16;Berlin, 16. März 1990;"Abbau Wachtturm;Kran;Mauerabbau;Nutzfahrzeug;Passant;Polizist;Presse;Wachtturm Typ BT-9";Im Grenzstreifen an der Bernauer Straße Höhe Ackerstraße sind mehrere Kameraleute und Fotografen, die den Mauerabbau durch die Grenztruppen dokumentieren, der drei Tage zuvor offiziell begonnen hat. Ein Kran hebt Betonelemente aus der Hinterlandmauer an der Ackerstraße. Das oberste Element des Wachturms hängt bereits an einem Kran. Schaulustige stehen auf der Ackerstraße und beobachten das Geschehen.;Bernauer Straße/Ackerstraße;"Wedding (West-Berlin);Mitte (Ost-Berlin)";POINT (13.39012 52.53547);http://www.mauer-fotos.de/image/?imageID=015786;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015787;Grenzstreifen Elsenstraße;Grenzstreifen an der Elsenstraße;Kasperski, Edmund;1990;1990;1990.05.10;Berlin, 10. Mai 1990;"Geräumter Grenzstreifen;Grenzhaus;Grenzmauer 75;Rohrauflage;Wachtturm Typ BT-9";Geöffneter Grenzstreifen an der Elsenstraße mit den Elementen der Grenzmauer 75 und der als Griffabweiser dienenden Rohrauflage.;Heidelberger Straße/Elsenstraße;"Treptow (Ost-Berlin);Kreuzberg (West-Berlin)";POINT (13.45122 52.48682);http://www.mauer-fotos.de/image/?imageID=015787;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-015827;Einfahrt Grenzstreifen Steinstücken;Einfahrt in den Grenzstreifen um die Exklave Steinstücken;Kasperski, Edmund;1990;1990;1990.04.03;Berlin, 3. April 1990;"Exklave Steinstücken;Grenzstreifen;Wachtturm Typ BT-11;Zufahrtstor (Grenzstreifen)";Einfahrt zum Grenzstreifen über die Stahnsdorfer Straße, der die Exklave Steinstücken umgibt. Der Wachturm hat eingeschlagene Fensterscheiben und scheint verlassen. Hinter dem Baum sieht man die Zufahrt zum Postenweg auf der ehemaligen Rote-Kreuz-Straße.;Stahnsdorfer Straße/Rote-Kreuz-Straße;Zehlendorf (West-Berlin);POINT (13.1272459030151 52.3916300955824);http://www.mauer-fotos.de/image/?imageID=015827;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-020001;Gedenkort Gröbenufer;Gedenkort für Udo Düllick am Gröbenufer;;1963;1963;1963.08;Berlin, August 1963;"Gedenkzeichen (Mauertote);Mauertoter;Wassergrenze";Gedenkort für die Mauertoten an der Anlegerstelle am Gröbenufer, mit dem zuerst am 7. Oktober 1961 errichteten Holzkreuz und dem später ergänzten Gedenkstein für den ertrunkenen Flüchtling Udo Düllick.;Oberbaumbrücke/May-Ayim-Ufer;Kreuzberg (West-Berlin);POINT (13.44471 52.50127);http://www.mauer-fotos.de/image/?imageID=020001;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-020003;Köpenicker Straße;Köpenicker Straße mit Berliner Mauer am Bethaniendamm;;1963;1963;1963.08;Berlin, August 1963;"Berliner Mauer;Gekappter Verkehrsweg (Berlin 1961-1989);Halde";Die Köpenicker Straße ist durch die Maueranlagen mit Hohlblocksteinen und Sichtblenden entlang des Bethaniendamms versperrt. Rechts ist eine Kohlenhalde am Spreeufer.;Bethaniendamm/Köpenicker Straße;"Kreuzberg (West-Berlin);Mitte (Ost-Berlin)";POINT (13.42829 52.50735);http://www.mauer-fotos.de/image/?imageID=020003;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-020015;Grenzmauer an der Versöhnungskirche;Berliner Mauer vor der Versöhnungskirche;Bahr, Alfons;1961;1967;1961.09;Berlin, ca. 1963;"Berliner Mauer;Kirche;Grenzmauer;Hohlblockstein";Versöhnungskirche an der Bernauer Straße hinter der Berliner Mauer, die als gemauerte Hohlblocksteinmauer zwischen dem alten Eingangsportal errichtet ist.;Bernauer Straße/Hussitenstraße;"Mitte (Ost-Berlin);Wedding (West-Berlin)";POINT (13.39124 52.53614);http://www.mauer-fotos.de/image/?imageID=020015;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-020171;Warnschild Potsdamer Platz;Berliner Mauer mit Warnschild am Potsdamer Platz;Kremer, Paul;1963;1963;1963;Berlin, Januar-März 1963;"Berliner Mauer;Stacheldrahtzaun;Warnschild;Zaunpfosten";Bürgersteig mit Warnschild vor dem Stacheldrahtzaun nahe Potsdamer Platz.;Potsdamer Platz;"Mitte (Ost-Berlin);Tiergarten (West-Berlin)";POINT (13.37657 52.50951);http://www.mauer-fotos.de/image/?imageID=020171;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-020172;Potsdamer Platz und Lenné-Dreieck;Grenzanlage entlang der Ebertstraße am Potsdamer Platz mit Lenné-Dreieck;Kremer, Paul;1963;1963;1963;Berlin, Januar-März 1963;"Berliner Mauer;Brache;Stacheldrahtzaun";Berliner Mauer am Potsdamer Platz mit Blick auf das Lenné-Dreieck, das westlich der Grenzmauer doppelt mit Stacheldrahtzaun gesichert ist. Das Lenné-Dreieck gehört zu Ost-Berlin, die Grenzmauer verläuft aber vom Brandenburger Tor direkt nach Süden zum Potsdamer Platz.;Ebertstraße/Lennéstraße;"Mitte (Ost-Berlin);Tiergarten (West-Berlin)";POINT (13.37696 52.51249);http://www.mauer-fotos.de/image/?imageID=020172;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-020173;Aussichtsplattformen Potsdamer Platz;Aussichtsplattformen am Potsdamer Platz;Kremer, Paul;1963;1963;1963;Berlin, Januar-März 1963;"Aussichtsplattform;Berliner Mauer;Mauerbesucher;Straßenschild";Aussichtsplattformen und Besucher am Potsdamer Platz beim S-Bahn-Eingang.;Potsdamer Platz;"Tiergarten (West-Berlin);Mitte (Ost-Berlin)";POINT (13.37657 52.50951);http://www.mauer-fotos.de/image/?imageID=020173;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
F-020174;Boyenstraße;Berliner Mauer an der Boyenstraße;Kremer, Paul;1963;1963;1963;Berlin, Januar-März 1963;"Abweiser (beidseitig);Berliner Mauer;Betonverbundmauer;Bürgersteig;Grenzhaus;Passant";Bürgersteig in West-Berlin an der Grenzmauer entlang der Boyenstraße.;Boyenstraße/Chausseestraße;"Mitte (Ost-Berlin);Wedding (West-Berlin)";POINT (13.37305 52.53793);http://www.mauer-fotos.de/image/?imageID=020174;Stiftung Berliner Mauer;DE-MUS-736838;https://creativecommons.org/licenses/by-sa/4.0/
